vin,color,brand,model,engine,transmission,mileage,price,sale,dealer,owner
742,Dark Grey,Maserati,Khamsin,W,Automatic,12422,23978,,21,
743,Green,Jaguar,XJ12,Electric,Standard,56682,73097,785,20,372
744,Purple,Ford,SVT,V6,Standard,6959,117488,,12,
745,Purple,Mercedes Benz,E55,V8,Automatic,3307,11492,245,15,264
746,Pearl,Lexus,SC 400,W,Automatic,44414,56518,405,23,338
747,Beige,Audi,V8,Diesel,Automatic,2447,116927,994,4,167
748,Light Grey,Suzuki,X-90,V6,Standard,36849,78773,,27,
749,Dark Grey,Hyundai,Getz,Petrol,Automatic,47068,55409,743,7,350
750,Dark Grey,GMC,Sierra,W,Standard,5144,7347,734,20,306
751,Light Grey,Mercedes Benz,G-Class,V6,Standard,19673,145297,23,10,205
752,Grey,Pontiac,Grand Prix,Inine,Automatic,32098,125486,673,4,43
753,Green,Alfa Romeo,155,Petrol,Automatic,24301,132754,848,8,115
754,Yellow,Peugeot,307 SW,W,Automatic,21610,112889,657,16,155
755,Grey,Pontiac,Grand Am,V8,Standard,39047,129585,257,0,60
756,Dark Green,Mercedes Benz,C320,V6,Standard,23356,26012,244,21,203
757,Orange,Pontiac,1000,Diesel,Automatic,68520,105955,62,24,326
758,Black,Hyundai,Tucson,Inine,Standard,31870,41173,684,23,215
759,Yellow,Volkswagen,Caravelle,Electric,Standard,4795,118492,,11,
760,Grey,Pontiac,Formula,W,Automatic,60499,94172,225,2,309
761,Red,Mazda,Van,V8,Standard,58744,65052,535,2,493
762,Dark Blue,Lexus,GS 400,V6,Standard,5653,4538,930,26,364
763,Yellow,Suzuki,Jimny,V8,Standard,4454,72366,346,7,208
764,Beige,Ford,Econoline,Diesel,Automatic,20002,148111,964,0,301
765,Beige,Lexus,Harrier 4x4,Petrol,Automatic,40635,24490,493,26,499
766,Beige,Subaru,XT,Electric,Standard,37238,147180,329,14,133
767,Yellow,Jaguar,Super V8,Diesel,Automatic,53269,54625,776,10,54
768,Black,Renault,Traffic,Petrol,Automatic,61128,32707,,23,
769,Grey,Toyota,LandCruiser 70,V8,Automatic,5303,113787,288,5,249
770,Beige,Hyundai,H 100,W,Standard,20369,69410,109,6,149
771,Black,Hyundai,Elantra,V6,Standard,23522,86552,195,4,430
772,Beige,Honda,Stream,Petrol,Automatic,9642,137469,191,17,280
773,Purple,Alfa Romeo,GTV,Electric,Automatic,67320,78093,,9,
774,Green,Toyota,LandCruiser Hg 80,Electric,Standard,17028,148326,99,19,71
775,Dark Blue,Chevrolet,Express,V8,Automatic,11317,111609,516,20,373
776,Light Grey,Audi,A4 Cabriolet,Petrol,Standard,947,58007,96,12,303
777,Beige,Chevrolet,C2500,V8,Standard,53832,10964,176,10,258
778,Dark Green,GMC,Van,V6,Automatic,8416,127081,948,23,261
779,Yellow,Suzuki,Esteem,Electric,Automatic,32470,79843,700,13,259
780,Green,Maserati,Coupé,V8,Automatic,11017,140176,106,19,21
781,Blue,Mazda,Mazdaspeed,V8,Standard,46103,92834,601,9,328
782,Dark Grey,Chevrolet,Chevette,Petrol,Standard,395,63695,236,20,153
783,White,Porsche,Cayman,Petrol,Standard,68742,143433,142,3,161
784,White,Fiat,Spider,Electric,Standard,49214,117460,537,27,139
785,Dark Blue,Porsche,914,W,Automatic,6413,68669,,1,
786,Pearl,Nissan,Vanette,Inine,Automatic,46140,108704,178,25,159
787,Pearl,Ferrari,400,Electric,Standard,12125,75523,778,25,331
788,Dark Grey,Mazda,323 F (BJ),W,Automatic,26191,101728,699,14,272
789,Green,Subaru,XT,Diesel,Standard,53175,2428,158,21,390
790,Green,Renault,Clio,V6,Standard,33388,149506,651,24,70
791,Orange,Audi,Quattro,Electric,Automatic,67976,100376,572,18,307
792,Red,Porsche,550,V8,Automatic,34770,135189,,3,
793,Light Grey,Lexus,GS 300,W,Automatic,11575,147747,562,2,396
794,Black,Audi,A8,V6,Standard,59027,9834,349,14,351
795,Yellow,Hyundai,Grandeur XG,W,Standard,74174,27210,671,27,58
796,Red,Kia,Shuma,Diesel,Standard,66030,48554,87,29,107
797,Pearl,Honda,S600,V8,Automatic,65022,45122,354,29,174
798,Purple,Mercedes Benz,C32,V8,Standard,47202,119147,804,22,29
799,Black,Maserati,3200 GT,Diesel,Standard,41639,84477,420,14,240
800,Purple,Alfa Romeo,146,Diesel,Standard,58953,61130,280,7,80
801,Light Grey,Nissan,Roadster,V8,Automatic,70794,141178,564,1,217
802,Blue,Honda,S600,Inine,Standard,64790,100251,,0,
803,Purple,BMW,M3,Electric,Automatic,31238,97537,514,12,329
804,Orange,Mazda,626,Petrol,Automatic,72089,78159,684,23,215
805,Pearl,Mazda,3 Sport,Electric,Standard,62071,47098,597,27,498
806,Purple,Volkswagen,Touareg,Inine,Automatic,59041,137764,762,10,239
807,Light Grey,Suzuki,SX4,Inine,Standard,59171,123601,795,2,381
808,Black,Subaru,Forester,Petrol,Standard,35588,68817,631,19,401
809,Light Grey,Peugeot,205,Petrol,Standard,46186,125242,345,16,83
810,White,Ford,Escort,Electric,Standard,10705,121567,459,18,267
811,Beige,Hyundai,Pony,W,Automatic,1374,21280,130,2,164
812,Beige,Maserati,5000 GT,V8,Automatic,40044,53474,111,29,329
813,Dark Grey,Porsche,Carrera GT,Petrol,Standard,74393,84114,195,4,430
814,Red,Hyundai,Veracruz,W,Automatic,44284,53886,977,5,34
815,Yellow,Subaru,Liberty,Petrol,Automatic,72271,11342,653,13,16
816,Orange,Jaguar,XJ Series,Electric,Standard,66535,143235,,12,
817,Dark Blue,Renault,Safrane,W,Automatic,26883,22223,628,16,138
818,Yellow,Mazda,Miata,V8,Standard,9772,147741,197,19,497
819,Dark Green,Volkswagen,Scirocco,V8,Automatic,29314,121808,436,4,334
820,Yellow,Fiat,Dino,V8,Standard,59591,83592,781,4,27
821,Purple,Maserati,Spyder,Diesel,Standard,20840,50303,,11,
822,Beige,Fiat,Doblò,V8,Standard,50853,144937,126,26,59
823,Orange,Maserati,420,Inine,Standard,37636,120103,167,8,400
824,Beige,Ford,Territory,Electric,Automatic,41150,26574,732,17,116
825,Dark Green,Subaru,Pic-Up,Petrol,Automatic,3364,104116,852,4,330
826,Yellow,GMC,Jimmy,W,Automatic,49263,110881,45,13,403
827,Blue,Pontiac,G5,V6,Automatic,33128,8474,834,16,467
828,Beige,Audi,100 V6,Petrol,Automatic,33876,127676,266,7,303
829,Grey,Mazda,6 Sport Wagon,V8,Standard,7269,104124,842,2,64
830,Black,GMC,Acadia,Petrol,Automatic,21293,38584,,22,
831,Yellow,Toyota,Echo,V6,Standard,21550,51071,,26,
832,Blue,Fiat,Cinquecento,Electric,Standard,49295,117914,903,11,159
833,Light Grey,GMC,Topkick,Diesel,Automatic,73927,122402,117,2,470
834,Light Grey,Ford,F-750,Inine,Automatic,535,78610,791,17,72
835,Yellow,GMC,Jimmy,Diesel,Standard,45948,123799,,29,
836,White,GMC,Canyon,V6,Automatic,47880,122460,,27,
837,Yellow,Toyota,Tercel,W,Standard,49120,42527,306,19,120
838,Blue,Porsche,Speedster,Diesel,Automatic,24078,66140,881,2,173
839,Green,Fiat,131,Petrol,Standard,15052,51297,124,1,481
840,Purple,Suzuki,Esteem,W,Standard,16596,16077,368,8,322
841,Dark Blue,Toyota,Pickup,V6,Standard,42691,139489,116,28,16
842,Blue,Audi,A8,Diesel,Standard,58775,37929,367,4,150
843,Dark Grey,Chevrolet,K2500,V8,Automatic,53369,46223,58,15,175
844,Light Grey,Mercedes Benz,B200 Turbo,V6,Automatic,69099,51597,657,16,155
845,Pearl,Honda,Concerto,V6,Automatic,73329,56870,273,18,128
846,Beige,Jaguar,XJ12,Inine,Automatic,22596,91044,813,17,23
847,Pearl,Chevrolet,Deluxe,W,Automatic,33069,116580,,10,
848,Dark Blue,Hyundai,H 100,Electric,Standard,14985,18069,,10,
849,Green,Renault,Laguna,V6,Automatic,28177,88936,612,5,151
850,Red,Ferrari,196,Inine,Standard,70169,44466,172,9,43
851,Pearl,Nissan,Stanza,Electric,Automatic,19314,56093,843,20,425
852,Red,Ford,Forte,Diesel,Standard,73377,63885,144,23,490
853,Dark Green,Alfa Romeo,Spider,Electric,Automatic,16241,28198,789,5,145
854,Dark Green,Toyota,LandCruiser,Inine,Automatic,4748,58746,703,25,159
855,Grey,Maserati,Biturbo,V6,Standard,65981,36583,,3,
856,Light Grey,GMC,Topkick,Diesel,Standard,3083,97307,,9,
857,Dark Grey,Hyundai,Grandeur XG,V8,Automatic,43293,40750,504,15,126
858,White,Nissan,Navara,Inine,Automatic,74385,122547,540,29,133
859,Light Grey,Alfa Romeo,GTV-6,Inine,Standard,15900,23854,523,11,194
860,Yellow,Fiat,Punto Grande,Inine,Automatic,2850,21821,947,22,373
861,Blue,Porsche,550,W,Standard,3622,4027,,11,
862,Beige,Mercedes Benz,A-Class,W,Standard,14200,87119,515,2,353
863,Yellow,Pontiac,Montana,Inine,Automatic,37133,144420,586,24,364
864,Pearl,Jaguar,XJ Series,Inine,Standard,3481,17891,323,0,290
865,Red,Audi,TT,V8,Automatic,53007,125691,273,18,128
866,Dark Green,Alfa Romeo,147,V8,Automatic,45208,32623,199,14,22
867,Orange,Porsche,Boxster,Petrol,Standard,44138,26545,,2,
868,Blue,Lexus,RX 330,Electric,Standard,29077,96634,470,10,301
869,Yellow,Jaguar,XJ40,V8,Automatic,72251,117445,992,20,88
870,Purple,Mazda,GLC,Petrol,Automatic,18222,52850,,3,
871,Yellow,Fiat,Croma,Electric,Standard,338,67049,905,3,146
872,Purple,Chevrolet,Prizm,Petrol,Automatic,69829,93293,,8,
873,Grey,Kia,Carnival,Electric,Standard,15152,135966,791,17,72
874,Pearl,Fiat,Stilo,Inine,Automatic,61308,130203,,5,
875,Orange,Nissan,Almera Tino,Petrol,Automatic,20529,149849,137,24,428
876,Dark Blue,Subaru,WRX STi,Diesel,Standard,25680,42615,961,23,62
877,Dark Grey,Alfa Romeo,159,V6,Standard,51274,72620,,27,
878,Pearl,Audi,R8,V8,Standard,19132,148370,220,14,386
879,Green,Renault,Espace,Diesel,Automatic,67897,55836,347,1,283
880,Red,Lexus,ES 300,V8,Automatic,53875,91195,445,24,436
881,Green,Volkswagen,T5 Transporter,W,Standard,10851,142578,614,14,26
882,Yellow,Alfa Romeo,Spider,W,Automatic,60720,148149,550,14,429
883,Dark Blue,Renault,Scénic,V8,Automatic,48190,72461,,19,
884,Orange,GMC,Canyon,V8,Automatic,39099,58314,497,20,51
885,Orange,GMC,Rally,W,Standard,42224,88261,,26,
886,Red,Pontiac,Torrent,Diesel,Standard,33658,142733,,14,
887,Black,Lexus,GS 430,Diesel,Automatic,63531,74443,,13,
888,Purple,Peugeot,307,Diesel,Standard,36883,61278,730,8,62
889,White,Alfa Romeo,GTV-6,Inine,Standard,69704,122131,824,6,441
890,Yellow,Audi,Fox,V6,Standard,6283,43742,776,10,54
891,Dark Grey,Pontiac,Grand LeMans,V6,Standard,32227,105431,167,8,400
892,Light Grey,GMC,Envoy XL,V6,Automatic,37712,131174,853,19,342
893,Dark Green,Jaguar,X300,V6,Automatic,903,24398,74,8,375
894,Black,Volkswagen,Shuttle,Diesel,Standard,469,54357,164,29,456
895,Dark Green,Kia,Sephia,V6,Standard,38626,122310,806,4,34
896,Orange,GMC,Van,Inine,Automatic,71538,125999,540,29,133
897,Beige,Chevrolet,Caprice,Petrol,Standard,70429,116393,959,26,172
898,Purple,Kia,Picanto,Inine,Standard,34111,115675,,11,
899,Dark Grey,Jaguar,X-Type,V6,Standard,52864,30787,723,10,136
900,Red,Chevrolet,K3500,V8,Automatic,1302,113250,822,16,174
901,Grey,Pontiac,Bonneville,Electric,Standard,36115,21912,632,5,276
902,Black,Renault,Magnum,Diesel,Standard,61253,47980,455,24,202
903,Light Grey,BMW,L7,W,Standard,38044,148330,630,14,122
904,Black,Mazda,MPV,W,Standard,70373,21968,996,11,319
905,Black,Kia,Clarus,V8,Standard,66240,101752,,22,
906,Dark Green,Jaguar,XJR,W,Automatic,43689,85648,605,26,386
907,Grey,Audi,A4 Cabriolet,V8,Automatic,54414,131311,138,1,63
908,Dark Green,Pontiac,Acadian,W,Standard,47803,59131,,28,
909,Black,GMC,Suburban,V8,Automatic,74483,74276,691,7,26
910,Light Grey,Maserati,GranSport,Diesel,Automatic,72774,44169,674,15,484
911,Pearl,Porsche,959,Petrol,Automatic,18737,117184,41,18,208
912,Light Grey,Peugeot,806,Petrol,Standard,56748,45486,542,12,369
913,White,GMC,Envoy XUV,Petrol,Automatic,60672,65576,327,0,207
914,Blue,Hyundai,XG300,W,Automatic,52192,98357,,28,
915,Yellow,Porsche,996,V6,Automatic,32514,35182,916,1,102
916,Yellow,Peugeot,306,W,Automatic,66355,50229,441,24,275
917,Dark Grey,Fiat,Ulysse II,V6,Automatic,20647,37085,,1,
918,Grey,GMC,Topkick,W,Automatic,8623,114669,433,17,415
919,Purple,Subaru,Justy,V6,Standard,8136,39233,,19,
920,Green,Audi,S8,W,Automatic,30142,18780,164,29,456
921,White,Ford,Sport Track,Diesel,Standard,10993,141019,654,1,203
922,Beige,Ford,Mondeo,V8,Standard,38356,80041,,13,
923,Red,Porsche,911,W,Automatic,33349,46664,462,17,401
924,Beige,Jaguar,Super V8,Diesel,Automatic,49329,87807,,4,
925,Black,Kia,Opirus,V8,Automatic,65652,84702,895,8,140
926,Orange,Nissan,Costaud,V6,Automatic,71911,1325,695,18,447
927,Dark Blue,GMC,Van,Petrol,Automatic,65735,149629,511,17,427
928,Light Grey,Nissan,Roadster,Inine,Standard,1611,30346,400,2,243
929,Grey,Nissan,Sentra Classic,Petrol,Automatic,41625,119113,947,22,373
930,Dark Green,Volkswagen,Transporter,W,Standard,4794,105054,405,23,338
931,Grey,Honda,Pilot,W,Standard,5048,125172,875,0,489
932,Dark Blue,Subaru,Forester,V8,Automatic,47544,73471,,29,
933,Dark Grey,Audi,R8,W,Standard,20931,65215,956,10,201
934,Blue,BMW,Z3,Electric,Standard,26842,131817,157,29,327
935,Yellow,Mazda,RX-4,Petrol,Automatic,52309,35860,787,20,478
936,Orange,Hyundai,Grandeur XG,W,Automatic,66698,89195,97,21,163
937,Red,Mazda,3 Sport,Electric,Standard,22338,141651,432,18,137
938,Light Grey,Ford,Skyliner,Petrol,Standard,51486,33650,970,6,310
939,Pearl,Kia,Mentor,W,Automatic,60815,97742,528,23,36
940,Light Grey,Ford,Forte,Diesel,Standard,8833,110147,539,0,241
941,Light Grey,Pontiac,Parisienne,W,Standard,62463,32673,840,17,494
942,Yellow,Jaguar,XK,Petrol,Automatic,1163,112693,,9,
943,Grey,Subaru,Impreza,V6,Automatic,15198,44222,768,12,234
944,Orange,Hyundai,Santa Fe,Diesel,Automatic,47781,148114,276,26,22
945,Purple,Mercedes Benz,CLS-Class,Petrol,Automatic,2113,142588,841,12,197
946,Yellow,Nissan,Skyline,V8,Standard,50035,41928,661,6,241
947,Dark Grey,Lexus,RX 400h,Electric,Standard,45310,44892,995,5,355
948,Grey,Peugeot,605,V6,Standard,34036,124322,957,3,442
949,Blue,Subaru,Outback Sport,W,Automatic,26272,23220,,18,
950,Pearl,Ferrari,328,Petrol,Standard,35621,70473,435,1,128
951,Blue,Porsche,356,V6,Standard,14795,78059,973,14,263
952,Dark Green,Maserati,Bora,V6,Automatic,31810,83686,342,6,221
953,Grey,GMC,Vandura,W,Standard,57003,102947,95,2,48
954,Orange,Lexus,IS 220,V6,Automatic,34091,98961,,10,
955,Light Grey,Maserati,3200 GT,V6,Standard,9985,16845,802,10,364
956,Red,Mazda,323,Diesel,Automatic,65298,74563,702,9,242
957,Green,Porsche,Carrera 911S,Inine,Automatic,18632,19184,331,22,44
958,Orange,Ferrari,166,Petrol,Automatic,59417,90805,638,16,69
959,Blue,Honda,Fit,Inine,Automatic,41317,22917,820,7,94
960,Dark Green,Nissan,Interstar,Inine,Automatic,61955,55625,501,2,214
961,Grey,Volkswagen,Shuttle,W,Standard,8074,68982,894,21,301
962,White,GMC,Suburban,Electric,Automatic,20352,106936,482,4,275
963,Orange,Peugeot,307,Electric,Standard,71350,87308,999,23,172
964,Dark Green,Hyundai,Stellar,Diesel,Standard,58657,97888,,3,
965,Orange,Fiat,Strada,V8,Standard,36548,26558,926,18,205
966,Yellow,Renault,Encore,Petrol,Automatic,7315,114226,949,26,381
967,Orange,Fiat,Spider,Petrol,Standard,30627,121161,467,6,153
968,Beige,Volkswagen,Jetta,Petrol,Standard,57240,27741,173,21,10
969,Blue,Chevrolet,Envoy,Diesel,Standard,3788,55007,356,7,47
970,Light Grey,Volkswagen,Golf III,W,Standard,46757,94374,590,16,143
971,Red,Porsche,Speedster,Inine,Standard,707,76241,,10,
972,Yellow,Mazda,B4000,V6,Automatic,15547,14998,403,18,139
973,Blue,Mercedes Benz,SLK-Class,Petrol,Automatic,48290,10214,501,2,214
974,Orange,Alfa Romeo,Milano,Inine,Automatic,43695,105001,718,14,258
975,Red,Chevrolet,G1500,Electric,Automatic,16239,37813,658,5,248
976,Dark Green,Ford,Tudor,Inine,Automatic,37204,65488,470,10,301
977,Dark Grey,Ford,Puma,Diesel,Automatic,57837,52001,842,2,64
978,Dark Grey,Toyota,T100,W,Automatic,26515,65042,418,26,152
979,Black,Pontiac,Tempest,Inine,Automatic,20243,9934,874,28,110
980,Blue,Audi,Q7,V8,Standard,70935,66045,,28,
981,Yellow,Fiat,Punto Grande,Electric,Standard,57043,20183,471,10,196
982,Grey,Alfa Romeo,Alfetta,Electric,Automatic,50827,61123,198,2,481
983,Green,Mazda,626 Cronos,Diesel,Automatic,57034,130004,203,6,81
984,Yellow,Volkswagen,Type II,Diesel,Standard,13738,40424,465,14,389
985,Blue,Fiat,Uno,Inine,Automatic,65773,143430,389,15,312
986,Green,GMC,Yukon XL,V8,Standard,63591,9084,454,24,202
987,Green,BMW,Isetta,V8,Standard,8087,42220,339,4,153
988,Grey,Maserati,Ghibli,Petrol,Standard,4545,121232,313,1,126
989,Orange,Chevrolet,Venture,Inine,Automatic,42338,34782,561,22,302
990,Light Grey,Pontiac,G5,Petrol,Standard,6620,148012,469,5,298
991,Light Grey,Mercedes Benz,124,V6,Standard,57145,110382,151,7,321
992,Pearl,Jaguar,XKR,Inine,Standard,40970,130249,832,4,372
993,White,Jaguar,XK8,Inine,Automatic,66479,131819,307,13,377
994,Black,Jaguar,XJ6 Serie 3,V8,Standard,3963,125669,,27,
995,Blue,Porsche,Carrera,Electric,Standard,1458,7636,,17,
996,Green,BMW,Z4,Inine,Standard,42562,112195,935,14,433
997,Dark Grey,Alfa Romeo,Milano,V6,Standard,37690,112303,826,26,173
998,Yellow,BMW,Z1,W,Standard,2248,122789,627,6,304
999,Pearl,Peugeot,407,Petrol,Automatic,35989,43449,701,18,182
1000,Blue,Chevrolet,Deluxe,V8,Automatic,36626,95395,,0,
1001,Dark Green,Toyota,Lite Ace,Inine,Automatic,5014,107012,946,23,388
1002,Beige,Kia,Opirus,W,Automatic,21195,9480,931,20,428
1003,Dark Blue,Alfa Romeo,Spider,Inine,Automatic,46345,9317,830,3,498
1004,White,BMW,320,W,Standard,65447,13621,966,4,373
1005,Light Grey,Porsche,Carrera 911S,W,Standard,61889,113678,618,1,258
1006,Beige,Nissan,Sunny Sedan,Petrol,Standard,61875,52003,624,2,394
1007,Light Grey,Toyota,Prado,V6,Standard,8705,17792,696,28,85
1008,White,Chevrolet,Trailblazer EXT,Petrol,Standard,63235,113181,377,25,207
1009,Pearl,Toyota,HiLux,W,Automatic,52611,67792,,26,
1010,Orange,Peugeot,406,Inine,Standard,31293,149476,310,14,126
1011,Orange,Chevrolet,Impala,Diesel,Automatic,61663,113477,804,22,29
1012,Orange,Kia,Joice,Diesel,Automatic,6240,142528,483,27,125
1013,Dark Blue,Kia,Spectra EX,V8,Standard,20624,32165,807,5,294
1014,Beige,Volkswagen,City Jetta,Petrol,Standard,18997,77219,338,8,442
1015,Beige,Mercedes Benz,560,Electric,Automatic,66582,9280,241,4,211
1016,Light Grey,GMC,Savana,Electric,Standard,8797,124435,265,11,372
1017,Light Grey,Kia,Spectra,V6,Standard,23724,127449,16,26,107
1018,Light Grey,Ford,Excursion,W,Standard,19428,79498,952,4,366
1019,Pearl,Fiat,Stilo,Inine,Automatic,6706,30497,522,0,385
1020,Orange,Honda,S600,Electric,Automatic,30492,16639,234,8,80
1021,Red,Mercedes Benz,B200,Petrol,Automatic,3202,102116,921,16,190
1022,Yellow,Jaguar,E-type,Petrol,Automatic,26339,14452,628,16,138
1023,Red,Fiat,Stilo,Inine,Automatic,46550,116768,325,16,387
1024,Purple,Suzuki,Aerio,Petrol,Automatic,6916,7572,417,26,277
1025,White,Hyundai,Pony,Diesel,Standard,23417,5522,115,24,300
1026,Beige,Maserati,Coupé,Petrol,Automatic,19571,130283,189,5,496
1027,Dark Blue,Volkswagen,Transporter,Electric,Standard,24766,104376,,5,
1028,Blue,Honda,Civic DelSol,Diesel,Automatic,10454,63355,912,16,230
1029,Dark Blue,Suzuki,Alto,Inine,Automatic,53686,47007,257,0,60
1030,Dark Grey,Renault,30,Petrol,Automatic,18551,103151,33,19,173
1031,White,Subaru,SVX,V8,Standard,41581,25041,497,20,51
1032,White,Porsche,Spyder,V8,Standard,49625,120619,356,7,47
1033,Light Grey,Peugeot,309,V6,Standard,43647,143552,,24,
1034,Yellow,Alfa Romeo,75,V6,Automatic,44660,66806,,21,
1035,Orange,Peugeot,306,Diesel,Standard,69348,65371,655,23,33
1036,Dark Blue,Peugeot,807,W,Standard,20942,69738,35,22,66
1037,Dark Blue,Fiat,131,W,Automatic,50707,107362,568,11,287
1038,Light Grey,Peugeot,607,V6,Standard,60130,99535,643,26,330
1039,Beige,Alfa Romeo,Guiletta,Diesel,Standard,47986,80884,309,3,436
1040,Blue,BMW,X3,V8,Automatic,10096,124642,,0,
1041,Pearl,Subaru,Outback,Diesel,Automatic,25694,102686,618,1,258
1042,Purple,Pontiac,G6,Electric,Automatic,27674,144592,883,16,35
1043,White,Renault,Modus,Inine,Automatic,33475,4347,101,8,270
1044,Grey,Suzuki,X-90,Petrol,Standard,27780,18800,410,5,204
1045,Orange,Maserati,GranSport Spyder,V6,Automatic,14113,146178,131,4,333
1046,Red,Honda,Prelude,Inine,Standard,21959,128865,295,25,153
1047,White,Mazda,Miata,V6,Standard,40879,147048,,24,
1048,Yellow,Peugeot,Boxer,V8,Automatic,16784,119440,,21,
1049,Black,GMC,Pickup,Inine,Standard,63321,123267,292,27,257
1050,Red,BMW,8 Series,Electric,Standard,61992,133701,373,27,176
1051,Blue,GMC,Sprint,Electric,Automatic,43423,50754,551,10,276
1052,Yellow,Audi,Fox,V6,Automatic,28898,18759,133,11,330
1053,Yellow,Ford,Capri,Diesel,Standard,46041,119489,898,8,94
1054,Dark Grey,Chevrolet,G2500,Electric,Standard,62782,97974,478,15,272
1055,Pearl,Ferrari,550,Diesel,Standard,57564,81306,,20,
1056,Pearl,GMC,Yukon,W,Automatic,52963,26678,606,20,169
1057,Light Grey,Chevrolet,Tahoe,Electric,Automatic,2438,84311,76,28,401
1058,Green,Pontiac,G5,Inine,Automatic,12260,105086,,21,
1059,Grey,Peugeot,406,V6,Automatic,64120,52568,23,10,205
1060,Dark Grey,GMC,Envoy XUV,V6,Standard,3001,96983,39,2,116
1061,Dark Blue,BMW,Mini Cooper,Inine,Automatic,56892,33201,785,20,372
1062,Purple,Nissan,Micra,Diesel,Automatic,54930,1186,,12,
1063,Dark Grey,Volkswagen,Polo Sedan,W,Standard,13385,24699,851,18,431
1064,Beige,Renault,Kangoo,Diesel,Standard,69662,126605,402,20,355
1065,Red,Chevrolet,Lacetti,Diesel,Standard,37422,78845,626,15,50
1066,Blue,Fiat,Tipo,V6,Automatic,42723,70643,230,13,56
1067,Dark Blue,Toyota,Camry Solara,V6,Automatic,60543,101433,,0,
1068,Dark Blue,Maserati,GranSport,V6,Standard,29195,134628,309,3,436
1069,Black,Lexus,ES 300,V8,Standard,65514,71903,898,8,94
1070,Green,Suzuki,Esteem,W,Standard,32936,12892,297,11,438
1071,Beige,Jaguar,Sovereign,Electric,Standard,19433,140107,600,10,493
1072,Yellow,Peugeot,1007,Electric,Standard,12397,12716,163,18,177
1073,Grey,Alfa Romeo,GTV-6,V6,Automatic,20220,20605,986,24,143
1074,Light Grey,Audi,100 C4 Series,Diesel,Automatic,566,24841,559,27,237
1075,Dark Green,Maserati,Khamsin,V6,Standard,22454,74055,143,16,91
1076,Dark Grey,BMW,545,Petrol,Standard,37916,21388,700,13,259
1077,Orange,Volkswagen,Golf III,Electric,Automatic,46803,71208,735,29,153
1078,Light Grey,Honda,FR-V,Inine,Automatic,8730,33562,,26,
1079,Yellow,Ford,SVT,W,Automatic,12953,51352,50,28,323
1080,Yellow,Suzuki,Verona,V6,Standard,34476,3347,856,1,437
1081,Black,Chevrolet,C3500,W,Standard,18658,73076,,0,
1082,Dark Green,Alfa Romeo,Milano,V8,Automatic,6087,82968,,5,
1083,Dark Grey,GMC,Envoy XL,V6,Automatic,41938,138998,725,1,205
1084,Dark Grey,Pontiac,Phoenix,V8,Automatic,44623,115535,767,26,123
1085,Red,Audi,Quattro,W,Standard,25902,111301,830,3,498
1086,Dark Blue,GMC,Envoy XL,Diesel,Automatic,40554,56015,759,17,73
1087,Blue,Ferrari,Mondial,Petrol,Automatic,26784,60409,391,25,76
1088,Grey,Audi,5000,V8,Standard,41608,104551,96,12,303
1089,Black,Mercedes Benz,C32,Inine,Automatic,46186,122848,503,9,481
1090,Red,Renault,30,V6,Automatic,64302,87259,517,28,167
1091,White,Jaguar,XJ8,W,Standard,22919,9524,742,19,295
1092,Purple,Toyota,Prado,Inine,Automatic,52045,138504,35,22,66
1093,Pearl,Maserati,Khamsin,Diesel,Automatic,64325,147149,428,18,490
1094,Dark Blue,Nissan,Pathfinder,V6,Standard,23262,97728,645,8,93
1095,Grey,Ford,GT,Diesel,Standard,63533,62786,570,22,34
1096,Blue,Toyota,Corolla Verso,Petrol,Standard,4599,88173,,5,
1097,Light Grey,Hyundai,Sonata,Diesel,Automatic,47195,99604,697,18,171
1098,Red,Volkswagen,Sharan,V8,Standard,6248,47331,624,2,394
1099,Light Grey,Peugeot,405,Electric,Automatic,2900,70127,225,2,309
1100,Dark Green,Renault,Medaillon,V6,Automatic,54168,76405,143,16,91
1101,Pearl,Toyota,Amazon,V6,Automatic,72709,7099,147,7,1
1102,Dark Green,Subaru,Loyale,Diesel,Automatic,22385,30070,670,16,381
1103,Dark Blue,Chevrolet,Express,Electric,Automatic,24067,7522,757,3,47
1104,Green,Maserati,Shamal,V8,Automatic,12440,74086,977,5,34
1105,Red,Jaguar,XJ6 Serie 3,Inine,Automatic,62270,143227,,11,
1106,Purple,Subaru,4x4 Turbo,Diesel,Automatic,10021,12798,,19,
1107,Yellow,Suzuki,Baleno,Petrol,Standard,72784,92723,,17,
1108,Red,Nissan,Cargo,W,Automatic,68417,135082,606,20,169
1109,Dark Blue,Lexus,LS 400,Electric,Automatic,48900,124525,125,18,360
1110,White,Lexus,SC 400,W,Automatic,60690,68342,927,21,476
1111,Yellow,Jaguar,XK,Diesel,Standard,68066,130740,136,29,424
1112,Dark Green,Subaru,SVX,Electric,Standard,36059,34967,779,22,326
1113,Green,Ferrari,208,Electric,Automatic,5725,138182,235,22,436
1114,Beige,Kia,Carstar,V6,Standard,60523,62050,472,29,352
1115,Black,Hyundai,XG,V8,Standard,66264,125887,326,25,40
1116,Pearl,Nissan,200SX,Inine,Automatic,55920,11363,38,7,114
1117,Black,Mercedes Benz,S420,Inine,Automatic,43651,109459,289,2,206
1118,Dark Blue,Pontiac,Vibe,Diesel,Automatic,73108,18007,509,17,0
1119,Light Grey,Mazda,B3000,V8,Standard,40185,13888,827,25,114
